DB010	DB020	DB030	DB040	DB040_F	DB090	DB090_F	DB100	DB100_F
2023	ES	917	ES51	1	121353231	1	1	1
2023	ES	918	ES51	1	154894855	1	1	1
2023	ES	919	ES51	1	167994494	1	1	1
2023	ES	920	ES51	1	166914391	1	1	1
2023	ES	921	ES51	1	135025129	1	1	1
2023	ES	922	ES51	1	265448862	1	1	1
2023	ES	923	ES51	1	100803688	1	1	1
2023	ES	924	ES51	1	83313455	1	1	1
2023	ES	925	ES51	1	114427785	1	1	1
2023	ES	927	ES51	1	244418108	1	1	1
2023	ES	928	ES51	1	240519320	1	1	1
2023	ES	929	ES51	1	176012031	1	1	1
2023	ES	932	ES51	1	230875256	1	1	1
2023	ES	933	ES51	1	274198435	1	1	1
2023	ES	934	ES51	1	750038014	1	1	1
2023	ES	935	ES51	1	131561481	1	1	1
2023	ES	937	ES51	1	230849566	1	1	1
2023	ES	938	ES51	1	254397911	1	1	1
2023	ES	939	ES51	1	146012713	1	1	1
2023	ES	941	ES51	1	1720047811	1	1	1
2023	ES	942	ES51	1	282042761	1	1	1
2023	ES	943	ES51	1	264560011	1	1	1
2023	ES	944	ES51	1	99117357	1	1	1
2023	ES	945	ES51	1	281260949	1	1	1
2023	ES	946	ES51	1	273650420	1	1	1
2023	ES	947	ES51	1	131188765	1	1	1
2023	ES	950	ES51	1	138252135	1	1	1
2023	ES	951	ES51	1	292078182	1	1	1
2023	ES	952	ES51	1	147862608	1	1	1
2023	ES	954	ES51	1	202629678	1	1	1
2023	ES	955	ES51	1	197492289	1	1	1
2023	ES	957	ES51	1	124429865	1	1	1
2023	ES	958	ES51	1	154480532	1	1	1
2023	ES	959	ES51	1	213397919	1	1	1
2023	ES	960	ES51	1	126571749	1	1	1
2023	ES	961	ES51	1	153993435	1	1	1
2023	ES	962	ES51	1	294381329	1	1	1
2023	ES	963	ES51	1	159421796	1	1	1
2023	ES	964	ES51	1	120483535	1	1	1
2023	ES	965	ES51	1	364171733	1	1	1
2023	ES	966	ES51	1	90771346	1	1	1
2023	ES	967	ES51	1	305783189	1	1	1
2023	ES	968	ES51	1	91719372	1	1	1
2023	ES	969	ES51	1	108604802	1	1	1
2023	ES	970	ES51	1	254048226	1	1	1
2023	ES	971	ES51	1	175148559	1	1	1
2023	ES	972	ES51	1	162598760	1	1	1
2023	ES	974	ES51	1	684564906	1	1	1
2023	ES	975	ES51	1	285381360	1	1	1
2023	ES	976	ES51	1	112459411	1	1	1
2023	ES	977	ES51	1	231360295	1	1	1
2023	ES	978	ES51	1	225174975	1	1	1
2023	ES	980	ES51	1	286235437	1	1	1
2023	ES	981	ES51	1	168016297	1	1	1
2023	ES	982	ES51	1	162899234	1	1	1
2023	ES	983	ES51	1	270962034	1	1	1
2023	ES	984	ES51	1	981125414	1	1	1
2023	ES	986	ES51	1	585910977	1	1	1
2023	ES	987	ES51	1	139325177	1	1	1
2023	ES	988	ES51	1	195159125	1	1	1
2023	ES	990	ES51	1	231231936	1	1	1
2023	ES	991	ES51	1	151723668	1	1	1
2023	ES	992	ES51	1	238228288	1	1	1
2023	ES	993	ES51	1	311896258	1	2	1
2023	ES	994	ES51	1	78431210	1	2	1
2023	ES	995	ES51	1	293950040	1	2	1
2023	ES	996	ES51	1	301556905	1	2	1
2023	ES	998	ES51	1	219845948	1	2	1
2023	ES	999	ES51	1	137663585	1	2	1
