HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	VHMATDEP	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	POBRECAT	HS160	HS160_F	HS170	HS170_F	HC020	HC020_F	HC080	HC080_F	HY030G	HY030G_F	HH040	HH040_F	HS140	HS140_F	HS180	HS180_F	HS190	HS190_F	HC001	HC001_F	HC002	HC002_F	HC003	HC003_F	HC060	HC060_F	HC070	HC070_F
2023	ES	33230	3	1	2023	1	3323001	1	3323001	1	33	1	1	1	1018140	21	1018140	21	0	11	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	0	11	0	16	1018140	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	0	25	NA	96	3	1	1	1	2	1	2	1	1	1	2	1	3	1	3	1	3	1	NA	96	2	1	1	1	5	1	7	1	1	1	NA	96	17692	1	NA	96	1	6	1	1018140	1790806	1	0	1	1	1	1	NA	96	2	1	1	2	1	2	1	NA	97	3	1	772667	1	2	1	2	1	2	1	2	1	3	1	2	1	4	1	NA	97	1	1
2023	ES	33231	4	1	2023	1	3323101	1	3323102	1	14	1	2	1	3899760	21	3899760	21	-43280	11	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	59120	21	0	16	4578250	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	678490	25	3	1	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	3	1	NA	96	1	1	1	1	3	1	8	1	1	1	1e+05	1	115877	1	NA	96	2	7	1.5	3899760	3899760	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	80	1	2	1	0	1	1	1	1	1	1	1	1	1	3	1	5	1	4	1	1	1	1	1
2023	ES	33232	3	1	2023	1	3323201	1	3323201	1	36	1	2	1	2522200	21	2522200	21	0	11	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	0	11	0	16	2522200	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	0	25	3	1	3	1	2	1	NA	96	1	1	1	1	2	1	1	1	1	1	2	1	NA	96	2	1	3	1	4	1	6	1	1	1	35000	1	42010	1	NA	96	2	7	1.5	2522200	2679670	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	105	1	3	1	157471	1	2	1	1	1	2	1	2	1	4	1	2	1	4	1	2	1	2	1
2023	ES	33233	2	1	2023	1	NA	97	3323301	1	15	1	1	1	1917990	21	1917990	21	1917990	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	8890	21	0	16	2408810	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	490820	25	3	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	4	1	5	1	1	1	45000	1	56477	1	NA	96	1	2	1	1917990	2078656	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	60	1	4	1	160667	1	1	1	2	1	2	1	2	1	4	1	5	1	1	1	1	1	1	1
2023	ES	33234	3	1	2023	1	3323401	1	3323401	1	28	1	1	1	5120230	21	5120230	21	5120230	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	177000	11	0	11	25379	11	3e+05	16	3e+05	16	1035710	21	0	16	8688860	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	177000	11	0	15	25379	11	3e+05	16	3e+05	16	3243250	25	3	1	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	4	1	NA	96	1	1	3	1	2	1	5	1	1	1	NA	96	44359	1	28000	1	1	2	1	5120230	5574701	0	0	2	1	NA	96	NA	96	3	1	0	2	1	2	1	90	1	3	1	631471	1	2	1	2	1	2	1	2	1	3	1	2	1	4	1	1	1	2	1
2023	ES	33235	3	1	2023	1	NA	97	3323501	1	17	1	1	1	1558720	21	1558720	21	32500	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	87500	21	0	11	0	11	55000	11	0	16	0	16	0	11	0	16	1693990	25	0	15	0	15	0	15	0	15	0	16	0	16	108040	25	0	11	0	15	55000	11	0	16	0	16	80270	25	NA	96	3	1	2	1	NA	96	2	1	1	1	1	1	3	1	3	1	4	1	NA	96	1	1	1	1	1	1	4	1	1	1	NA	96	24648	1	NA	96	1	6	1	1558720	2169386	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	85	1	3	1	610667	1	1	1	2	1	2	1	2	1	3	1	2	1	3	1	1	1	1	1
2023	ES	33236	3	1	2023	1	3323601	1	3323601	1	8	1	4	1	3631314	21	3072584	21	1350704	51	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	42685	11	0	16	0	16	154240	21	0	16	4155857	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	42685	11	0	16	0	16	481857	25	NA	96	2	1	2	1	NA	96	2	1	1	1	2	1	3	1	1	1	3	1	NA	96	2	1	1	1	1	1	4	1	1	1	NA	96	19142	1	NA	96	4	9	2.5	3631314	4277981	0	0	2	1	NA	96	NA	96	NA	97	0	2	1	2	1	150	1	4	1	646667	1	2	1	3	1	2	1	2	1	3	1	3	1	4	1	1	1	1	1
2023	ES	33237	2	1	2023	1	3323701	1	3323702	1	25	1	2	1	4753280	21	4753280	21	4753280	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	532929	11	0	11	38000	11	0	16	0	16	22350	21	0	16	6273510	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	532929	11	0	15	38000	11	0	16	0	16	1482230	25	3	1	3	1	2	1	3	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	3	1	2	1	5	1	2	1	NA	96	68847	1	58200	1	2	8	1.5	4753280	4886381	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	90	1	3	1	666031	1	2	1	1	1	2	1	2	1	2	1	3	1	4	1	2	1	2	1
2023	ES	33239	2	1	2023	1	3323903	1	3323903	1	20	1	3	1	3865770	21	3865770	21	3865770	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	-76530	21	0	16	4646140	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	780370	25	3	1	1	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	3	1	4	1	5	1	1	1	53100	1	76110	1	NA	96	3	11	1.8	3865770	3865770	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	70	1	3	1	0	1	2	1	2	1	2	1	2	1	5	1	NA	96	4	1	1	1	1	1
2023	ES	33240	3	1	2023	1	3324001	1	3324001	1	8	1	1	1	1595140	21	1595140	21	1595140	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	39690	21	0	16	1984170	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	389030	25	3	1	3	1	2	1	NA	96	2	1	2	1	2	1	1	1	1	1	2	1	NA	96	2	1	3	1	3	1	3	1	2	1	54000	1	69677	1	NA	96	1	1	1	1595140	1595140	0	1	2	1	NA	96	NA	96	2	1	0	2	1	2	1	90	1	2	1	0	1	2	1	1	1	2	1	2	1	3	1	2	1	4	1	2	1	2	1
2023	ES	33241	3	1	2023	1	3324101	1	3324101	1	15	1	5	1	11713880	21	11552050	21	5969280	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	5060	21	16314	11	0	11	50000	11	0	16	0	16	-13440	21	20000	16	14655300	25	0	15	0	15	0	15	0	15	0	16	0	16	6240	25	16314	11	0	15	50000	11	0	16	0	16	2891420	25	3	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	1	1	2	1	7	1	1	1	NA	96	33341	1	46000	1	5	9	3	11713880	12380232	0	0	1	1	6	1	NA	96	2	1	0	2	1	1	1	130	1	3	1	682667	1	2	1	2	1	1	1	2	1	3	1	2	1	2	1	1	1	1	1
