RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2030_N	AROPE	AROPE_N
2023	ES	1979804	74721516	1	1978	1	44	1	45	1	2	1	1	1	4	1	1979802	1	1979803	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1979901	113552856	1	1991	1	31	1	31	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	3	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1979902	113552856	1	1985	1	37	1	38	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	3	1	3	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980101	55823859	1	1969	1	53	1	54	1	1	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	1	1
2023	ES	1980102	55823859	1	2000	1	22	1	23	1	2	1	1	1	2	1	NA	96	NA	96	NA	96	3	1	3	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	1	1
2023	ES	1980501	55403513	1	1949	1	73	1	74	1	1	1	1	1	3	1	NA	96	NA	96	1980502	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1980502	55403513	1	1949	1	73	1	74	1	2	1	1	1	3	1	NA	96	NA	96	1980501	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1980601	47022254	1	1984	1	38	1	38	1	2	1	1	1	1	1	NA	96	NA	96	1980602	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980602	47022254	1	1981	1	41	1	41	1	1	1	1	1	1	1	NA	96	NA	96	1980601	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980603	47022254	1	2022	1	0	1	1	1	1	1	1	1	5	1	1980602	1	1980601	1	NA	96	1	1	1	1	38	1	NA	96	0	1	0	1	0	1	2	1	47630267	1	0	0	0	0	0	0	0
2023	ES	1980701	73043051	1	1969	1	53	1	53	1	2	1	1	1	1	1	NA	96	NA	96	1980702	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980702	73043051	1	1964	1	58	1	58	1	1	1	1	1	3	1	NA	96	NA	96	1980701	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	9	0	0	0
2023	ES	1980703	73043051	1	1997	1	25	1	26	1	1	1	1	1	5	1	1980702	1	1980701	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980704	73043051	1	2002	1	20	1	20	1	2	1	1	1	5	1	1980702	1	1980701	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980801	31939282	1	1972	1	50	1	50	1	1	1	1	1	1	1	NA	96	NA	96	1980802	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980802	31939282	1	1970	1	52	1	52	1	2	1	1	1	2	1	NA	96	NA	96	1980801	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980803	31939282	1	2006	1	16	1	16	1	1	1	1	1	5	1	1980801	1	1980802	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1980901	68598874	1	1938	1	84	1	85	1	2	1	1	1	3	1	NA	96	NA	96	NA	96	3	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	NA	9	0	0	0
2023	ES	1980902	68598874	1	1952	1	70	1	70	1	1	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	NA	9	0	0	0
