RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2020_N	RCH010	RCH010_F	RCH020	RCH020_F	RK050	RK050_F	RK060	RK060_F	RK070	RK070_F	RK080	RK080_F	AROPE	AROPE_N
2021	ES	1565803	29720000	1	2014	1	6	1	7	1	1	1	1	1	5	1	1565801	1	1565802	1	 	96	1	1	1	1	 	96	35	1	0	1	0	1	0	1	0	1	28076513	1	0	0	0	0	0	1	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	1565901	25447746	1	1959	1	61	1	62	1	2	1	1	1	1	1	 	96	 	96	 	96	3	1	3	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566001	17033711	1	1960	1	60	1	61	1	1	1	1	1	1	1	 	96	 	96	1566002	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566002	17033711	1	1962	1	58	1	59	1	2	1	1	1	2	1	 	96	 	96	1566001	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566101	21577761	1	1981	1	39	1	40	1	1	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	1	0	0	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1566401	41916522	1	1989	1	31	1	32	1	1	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566501	15216506	1	1977	1	43	1	43	1	1	1	1	1	1	1	 	96	 	96	1566502	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566502	15216506	1	1978	1	42	1	43	1	2	1	1	1	1	1	 	96	 	96	1566501	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566503	15216506	1	2008	1	12	1	13	1	1	1	1	1	5	1	1566501	1	1566502	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	2	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	1566504	15216506	1	2011	1	9	1	10	1	1	1	1	1	5	1	1566501	1	1566502	1	 	96	1	1	1	1	 	96	30	1	0	1	0	1	0	1	0	1	14850801	1	0	0	0	0	0	2	1	3	1	1	1	1	1	 	96	 	96	0	0
