HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F	HI010T	HI010T_F	HI020T	HI020T_F	HI030T	HI030T_F	HI040T	HI040T_F
2019	ES	22912	01	01	2020	01	2291201	01	2291201	01		96	4	01	2923180	10100	2923180	10100	2923180	10100	593916	01	0	0	0	0	0	0	0	0	0	0	0	0	50760	110100	0	0	0	0	0	0	0	0	0	0	-126240	110100	0	0	3718640	20100	0	0	0	0	0	0	0	0	0	0	0	0	62650	40100	0	0	0	0	0	0	0	0	0	0	795460	1100		96	3	01		96	1	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	3	01	200000	01	1	01		96	2	01	2	01	2	01	2	01	3	01	1	01	5	01	1980	01	2	01	1	01		96	65000	01	13227	01	1	01	1	01	06	06	96		96	1	02	1	2923180	3517096	0	0	0	2	01	2	01		96		96	2	01
2019	ES	22913	01	01	2020	01	2291301	01	2291301	01		96	23	01	1900210	10100	1677420	10100	1677420	10100	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-49900	110100	0	0	2122310	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222100	1100	1	01	3	01		96	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	150000	01	1	01		96	2	01	2	01	2	01	1	01	4	01	3	01	2	01	2008	01	2	01	1	01	40800	01		96	48893	01	1	01	1	01	06	06	96		96	2	08	1.5	1900210	1900210	0	0	0	2	01	3	01		96	1	01	3	01
2019	ES	22915	01	01	2020	01	2291501	01	2291501	01		96	6	01	2060880	10100	2060880	10100	311160	10100	602946	01	0	0	0	0	0	0	0	0	0	0	0	0	251660	110100	0	0	0	0	0	0	0	0	0	0	-59500	110100	0	0	2060840	20100	0	0	0	0	0	0	0	0	0	0	0	0	311120	40100	0	0	0	0	0	0	0	0	0	0	-40	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	3	01	110000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	5	01	4	01	1950	01	2	01	1	01		96	70000	01	19885	01	1	01	1	01	06	06	96		96	2	07	1.5	2060880	2663826	0	0	0	2	01	2	01		96		96	2	01
2019	ES	22917	01	01	2020	01	2291701	01	2291701	01		96	5	01	4990590	10100	2978290	10100	2032540	10100	584346	01	0	0	0	0	0	0	0	0	0	0	0	0	2700	110100	0	0	0	0	0	0	0	0	0	0	98570	110100	0	0	5771350	20100	0	0	0	0	0	0	0	0	0	0	0	0	3330	40100	0	0	0	0	0	0	0	0	0	0	780760	1100		96	3	01		96	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	100000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	5	01	3	01	1960	01	2	01	1	01		96	65000	01	15971	01	1	01	1	01	06	06	96		96	2	08	1.5	4990590	5574936	0	0	0	2	01	2	01		96		96	2	01
2019	ES	22918	01	01	2020	01	2291801	01	2291801	01		96	13	01	1573541	12000	1573541	12000	1573541	12000	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-82232	112000	0	0	1740082	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166542	1000	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	150000	01	2	01		96	2	01	2	01	2	01	2	01	3	01	3	01	3	01	2019	01	2	01	1	01	50000	01		96	60793	01	1	01	1	01	01	06	96		96	1	02	1	1573541	1573541	0	0	0	2	01	2	01		96		96	2	01
2019	ES	22919	01	01	2020	01	2291901	01	2291901	01		96	16	01	5661960	10100	5661960	10100	5661960	10100	604146	01	0	0	0	0	0	0	0	0	0	0	0	0	9700	110100	0	0	0	0	0	0	0	0	0	0	114150	110100	0	0	7331860	22100	0	0	0	0	0	0	0	0	0	0	0	0	12580	40100	0	0	0	0	0	0	0	0	0	0	1669900	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	200000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	5	01	4	01	1980	01	2	01	1	01		96	70000	01	17593	01	1	01	1	01	06	06	96		96	3	09	2	5661960	6266106	0	0	0	2	01	2	01		96		96	2	01
2019	ES	22920	01	01	2020	01	2292001	01	2292001	01		96	5	01	1240313	12000	1240313	12000	1240313	12000	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1394798	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154485	1000	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	150000	01	2	01		96	2	01	2	01	2	01	2	01	3	01	3	01	3	01	2018	01	2	01	1	01	66000	01		96	74343	01	1	01	1	01	06	06	96		96	1	02	1	1240313	1240313	0	0	0	2	01	2	01		96		96	2	01
2019	ES	22921	01	01	2020	01	2292101	01	2292101	01		96	53	01	2405170	10100	2405170	10100	2405170	10100	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-235970	110100	0	0	2500000	22100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94830	1100	3	01	3	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	150000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	3	01	3	01	2008	01	2	01	1	01	65000	01		96	76443	01	1	01	1	01	01	06	96		96	1	02	1	2405170	2405170	0	0	0	2	01	3	01		96	1	01	3	01
2019	ES	22923	01	01	2020	01	2292301	01	2292301	01		96	4	01	926211	12000	926211	12000	926211	12000	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021185	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94974	1000	3	01	3	01		96	2	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	3	01	120000	01	3	01		96	1	01	2	01	1	01	2	01	3	01	3	01	3	01	2012	01	2	01	1	01	60000	01		96	67043	01	1	01	1	01	06	06	96		96	1	05	1	926211	926211	0	1	0	2	01	2	01		96		96	2	01
2019	ES	22925	01	01	2020	01	2292501	01	2292501	01		96	9	01	1007370	10100	1007370	10100	-300000	10100	587496	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300000	110100	300000	110100	0	0	0	0	1307370	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300000	10100	300000	10100	0	0		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	120000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	1	01	3	01	1980	01	2	01	1	01		96	65000	01	14827	01	1	01	1	01	96	96	96		96	1	03	1	1007370	1594866	0	1	0	2	01	2	01		96		96	2	01
