HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	VHMATDEP	HS200	HS200_F	HS210	HS210_F	HS220	HS220_F	POBRECAT
2022	ES	29796	6	1	2022	1	2979601	1	2979601	1	8	1	1	1	2379780	21	2061550	21	2061550	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	35480	21	0	16	2931460	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	551680	25	3	1	3	1	2	1		96	1	1	1	1	2	1	1	1	3	1	3	1		96	1	1	3	1	3	1	3	1	1	1	69246	1	75535	1	3	1		96	4	1	1	1		96	1	5	10	2379780	2379780	0	0	3	1	2	1	3	1	0
2022	ES	29797	4	1	2022	1	2979701	1	2979701	1	8	1	2	1	3678130	21	3678130	21	3678130	21	695860	56	150000	11	0	11	0	11	0	11	156000	16	156000	16	0	21	0	11	0	11	0	11	0	16	0	16	-85060	21	0	16	4742700	25	150000	15	0	15	0	15	0	15	156000	16	156000	16	0	25	0	11	0	15	0	11	0	16	0	16	1064570	25		96	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	3	1	5	1	2	1	1	1		96	27697	1	2	1		96		96	2	1		96	2	10	13	3678130	4373990	0	0	2	1	2	1	2	1	0
2022	ES	29798	4	1	2022	1	2979801	1	2979801	1	17	1	4	1	1531870	21	230310	21	230310	21	628784	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	51070	51	0	11	24000	11	0	16	0	16	0	11	0	16	1703420	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	51070	51	0	15	24000	11	0	16	0	16	147550	25	3	1	3	1	1	1		96	2	1	1	1	2	1	1	1	1	1	3	1	2	1	2	1	4	1	2	1	4	1	1	1		96	24518	1	2	1		96		96		97		96	4	12	23	1531870	2109583	1	0		96	2	1	2	1	1
2022	ES	29799	4	1	2022	1	2979901	1	2979901	1	16	1	1	1	771100	21	771100	21	-28000	21	787847	56	0	11	0	11	0	11	0	11	0	16	0	16	0	11	0	11	0	11	28000	11	0	16	0	16	0	11	0	16	799100	25	0	15	0	15	0	15	0	15	0	16	0	16	0	15	0	11	0	15	28000	11	0	16	0	16	0	25		96	3	1	1	1	3	1	2	1	2	1	2	1	3	1	1	1	3	1	1	1	2	1	4	1	1	1	3	1	2	1		96	17510	1	2	1		96		96		97		96	1	6	10	771100	1558947	1	1	3	1		96	3	1	1
2022	ES	29800	5	1	2022	1	2980001	1	2980002	1	28	1	2	1	3911160	21	3762870	21	3762870	21	522584	56	0	11	0	11	0	11	0	11	0	16	0	16	1870	21	57600	11	0	11	25600	11	0	16	0	16	-43660	21	0	16	4927980	25	0	15	0	15	0	15	0	15	0	16	0	16	2310	25	57600	11	0	15	25600	11	0	16	0	16	991220	25	3	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	3	1	4	1	2	1	1	1	4	1	2	1	6	1	1	1		96	21597	1	2	1		96		96	2	1	36800	1	2	8	15	3911160	4376144	0	0	3	1	3	1	3	1	0
2022	ES	29801	5	1	2022	1	2980101	1	2980101	1	13	1	3	1	2671444	21	2671444	21	48004	21	634827	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	32575	11	0	16	0	16	-80580	21	0	16	2728810	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	32575	11	0	16	0	16	24790	25		96	3	1	2	1		96	1	1	1	1	2	1	1	1	1	1	1	1		96	1	1	4	1	1	1	6	1	2	1		96	21677	1	1	1	1	1		96	3	1		96	3	9	20	2671444	3306271	0	0	3	1	1	1	3	1	0
2022	ES	29802	4	1	2022	1		97	2980201	1	10	1	3	1	3984610	21	3984610	21	171300	21	692427	56	0	11	0	11	0	11	0	11	0	16	0	16	15460	21	0	11	0	11	11000	11	0	16	0	16	-166840	21	0	16	4261040	25	0	15	0	15	0	15	0	15	0	16	0	16	19090	25	0	11	0	15	11000	11	0	16	0	16	265430	25		96	3	1	2	1	3	1	2	1	1	1	1	1	1	1	1	1	5	1		96	1	1	4	1	1	1	5	1	1	1		96	21487	1	2	1		96		96	2	1		96	3	9	20	3984610	4677037	0	0	2	1	2	1	3	1	0
2022	ES	29803	6	1	2022	1	2980301	1	2980301	1	6	1	1	1	1459730	21	1459730	21	1459730	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	-54630	21	0	16	1598460	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	138730	25	3	1	3	1	2	1	3	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	4	1	3	1	5	1	1	1	55700	1	71220	1	1	1	1	1		96	2	1		96	1	5	10	1459730	1459730	0	0		96		96		96	0
2022	ES	29805	5	1	2022	1	2980501	1	2980501	1	15	1	2	1	4818250	21	4818250	21	95110	21	742827	56	132860	21	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	30000	11	0	16	0	16	130260	21	0	16	5883880	25	167250	25	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	30000	11	0	16	0	16	1035630	25		96	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1		96	1	1	4	1	1	1	5	1	1	1		96	28052	1	2	1		96		96		97		96	2	7	15	4818250	5561077	0	0	2	1	1	1	2	1	0
2022	ES	29806	5	1	2022	1	2980601	1	2980601	1	9	1	2	1	3109730	21	2562980	21	-38870	21	642968	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	99884	51	0	11	32400	11	0	16	0	16	6470	21	0	16	3668710	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	99884	51	0	15	32400	11	0	16	0	16	526580	25	3	1	3	1	2	1		96	2	1	1	1	2	1	3	1	1	1	3	1		96	2	1	4	1	2	1	3	1	1	1		96	32844	1	2	1		96		96	2	1		96	2	7	15	3109730	3652814	0	0		96		96	3	1	0
