Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Tipo de dato;Periodo;Total
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;15/7/2020;25,90
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;12/7/2020;17,54
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;8/7/2020;25,47
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;5/7/2020;18,41
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;1/7/2020;25,77
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/6/2020;17,68
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/6/2020;17,52
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/6/2020;21,48
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;19/6/2020;23,90
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/6/2020;23,15
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/6/2020;23,25
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;16/6/2020;22,61
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;15/6/2020;21,99
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/6/2020;17,41
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;13/6/2020;20,32
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;12/6/2020;21,40
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;11/6/2020;22,46
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;10/6/2020;22,02
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;9/6/2020;19,49
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;8/6/2020;18,69
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/6/2020;13,28
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;6/6/2020;18,37
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;5/6/2020;21,44
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;4/6/2020;20,16
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;3/6/2020;20,85
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;2/6/2020;20,51
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;1/6/2020;16,11
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;31/5/2020;13,55
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;30/5/2020;15,69
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;29/5/2020;19,97
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/5/2020;20,15
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;27/5/2020;19,90
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;26/5/2020;19,79
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;25/5/2020;18,09
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/5/2020;10,21
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;23/5/2020;13,02
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;22/5/2020;17,55
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;21/5/2020;17,71
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/5/2020;17,47
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;19/5/2020;17,51
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/5/2020;16,07
