HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F
2018	ES	14711	11	01	2018	01	1471102	01	1471101	01	1471102	01	8	01	2733277	12083	2733277	12083	2733277	12083	689941	01	0	0	0	0	0	0	0	0	0	0	0	0	17220	110100	420000	110100	0	0	0	0	0	0	0	0	-101640	110100	0	0	3240895	32085	0	0	0	0	0	0	0	0	0	0	0	0	21270	40100	420000	10100	0	0	0	0	0	0	0	0	507618	1093	3	01	3	01		96	2	01	1	01	2	01	3	01	1	01	1	01	1	01	1	01	1	01	240000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	2	01	5	01	2007	01	2	01	1	01		96	50000	01	57370	01	1	01	1	01	01	06	96	911	01	4	12	2.1	2733277	3003218	0	0	0	2	01
2018	ES	14712	11	01	2018	01	1471202	01	1471201	01	1471202	01	10	01	1924620	10100	1924620	10100	70110	10100	450384	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-70110	110100	0	0	2105960	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181340	1100		96	3	01		96	2	01	1	01	1	01	1	01	1	01	3	01	1	01	1	01	5	01	100000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	1	01	5	01	1968	01	2	01	1	01		96	30000	01	11260	01	1	01	1	01	96	96	96		96	2	07	1.5	1924620	2375004	0	0	0	1	01
2018	ES	14713	10	01	2018	01	1471301	01	1471302	01	1471301	01	9	01	2910180	10100	2382150	10100	772130	10100	665791	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54869	110100	0	0	75000	110100	0	0	0	0	-22920	110100	0	0	3271180	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54869	10100	0	0	75000	10100	0	0	0	0	286000	1100	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	160000	01	2	01		96	2	01	1	01	2	01	2	01	2	01	2	01	6	01	2000	01	2	01	1	01		96	100000	01	21043	01	1	01	1	01	06	06	96	350	01	3	09	2	2910180	3521102	0	0	0	2	01
2018	ES	14714	10	01	2018	01	1471401	01	1471401	01	1471402	01	14	01	3102198	12087	1723568	12077	1723568	12077	0	00	0	0	0	0	0	0	24000	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-59490	110100	0	0	3233676	32087	0	0	0	0	0	0	24000	10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131478	1074	2	01	2	01	3	01	2	01	1	01	2	01	1	01	1	01	1	01	1	01	2	01	2	01	150000	01	1	01	1	01	2	01	2	01	2	01	2	01	4	01	3	01	6	01	2013	01	1	01	1	01	40000	01		96	52327	01	1	01	1	01	06	01	96		96	6	13	3.3	3102198	3102198	0	1	1	2	01
2018	ES	14715	10	01	2018	01	1471502	01	1471502	01		96	12	01	4616390	10100	4616390	10100	4616390	10100	238007	01	0	0	0	0	0	0	0	0	0	0	0	0	22980	110100	47031	112000	0	0	0	0	0	0	0	0	-55470	110100	0	0	5376820	20100	0	0	0	0	0	0	0	0	0	0	0	0	26670	40100	47031	12000	0	0	0	0	0	0	0	0	760430	1100	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	250000	01	1	01		96	2	01	2	01	2	01	2	01	3	01	2	01	4	01	1989	01	2	01	2	01		96	30000	01	21013	01	1	01	1	01	06	06	06	255	01	4	09	2.5	4616390	4807365	0	0	0	2	01
2018	ES	14716	10	01	2018	01	1471601	01	1471601	01	1471602	01	15	01	2089840	10100	2016030	10100	2016030	10100	482185	01	0	0	0	0	0	0	0	0	0	0	0	0	1210	110100	34800	110100	0	0	0	0	0	0	0	0	-101020	110100	0	0	2488810	20100	0	0	0	0	0	0	0	0	0	0	0	0	1490	40100	34800	10100	0	0	0	0	0	0	0	0	398970	1100	3	01	3	01	3	01	1	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	250000	01	1	01	1	01	2	01	1	01	1	01	2	01	4	01	2	01	5	01	2003	01	1	01	1	01		96	35000	01	18989	01	1	01	1	01	06	06	96	260	01	2	08	1.5	2089840	2537225	0	0	0	1	01
2018	ES	14717	12	01	2018	01	1471701	01	1471701	01	1471702	01	3	01	1197910	10100	992020	10100	992020	10100	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284480	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86570	1100	3	01	3	01		96	1	01	1	01	2	01	1	01	1	01	1	01	1	01	2	01	3	01	200000	01	1	01		96	2	01	2	01	1	01	1	01	2	01	3	01	4	01	2017	01	2	01	1	01	45000	01		96	61841	01	1	01	1	01	06	06	96		96	3	11	1.8	1197910	1197910	1	1	0	1	01
2018	ES	15585	12	01	2018	01	1558501	01	1558501	01	1558502	01	7	01	3937056	12096	3937056	12096	3937056	12096	571579	01	750000	110100	0	0	0	0	0	0	0	0	0	0	0	0	548951	110100	0	0	0	0	0	0	0	0	-168545	112000	0	0	4088160	20100	750000	40100	0	0	0	0	0	0	0	0	0	0	0	0	548951	10100	0	0	0	0	0	0	0	0	151104	1100	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	250000	01	1	01	1	01	2	01	2	01	2	01	2	01	4	01	2	01	4	01	2002	01	2	01	1	01		96	70000	01	83589	01	1	01	1	01	06	06	96	1200	01	4	12	2.3	3937056	3959683	0	0	0	1	01
2018	ES	15587	12	01	2018	01	1558703	01	1558701	01	1558703	01	5	01	3222430	10100	853170	10100	853170	10100	474897	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167870	110100	0	0	3787040	22100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564610	1100		96	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	200000	01	1	01		96	2	01	2	01	2	01	2	01	3	01	1	01	4	01	2013	01	2	01	1	01		96	50000	01	20239	01	1	01	1	01	06	06	96		96	3	09	2	3222430	3697327	0	0	0	2	01
2018	ES	15588	12	01	2018	01	1558801	01	1558802	01	1558801	01	3	01	1671950	10100	1671950	10100	8610	10100	920840	01	0	0	0	0	0	0	0	0	0	0	0	0	6980	110100	0	0	0	0	0	0	0	0	0	0	-1630	110100	0	0	1671950	20100	0	0	0	0	0	0	0	0	0	0	0	0	8610	40100	0	0	0	0	0	0	0	0	0	0	0	0		96	3	01		96	1	01	1	01	1	01	1	01	1	01	3	01	1	01	1	01	4	01	130000	01	2	01		96	2	01	2	01	2	01	2	01	2	01	1	01	5	01	1960	01	2	01	1	01		96	150000	01	19884	01	1	01	1	01	96	96	96		96	2	07	1.5	1671950	2592790	0	0	0	1	01
2018	ES	15589	12	01	2018	01	1558901	01	1558901	01		96	5	01	1614110	10100	1614110	10100	1614110	10100	740840	01	0	0	0	0	0	0	0	0	1080000	110100	1080000	110100	0	0	188740	110100	0	0	0	0	0	0	0	0	-2950	110100	0	0	1655620	20100	0	0	0	0	0	0	0	0	1080000	10100	1080000	10100	0	0	188740	10100	0	0	0	0	0	0	0	0	41510	1100	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	5	01	80000	01	1	01		96	2	01	2	01	2	01	2	01	2	01	2	01	6	01	2003	01	2	01	1	01		96	100000	01	48022	01	1	01	1	01	96	96	96	600	01	2	10	1.3	1614110	2166210	0	0	0	1	01
