RB010	RB020	RB030	RB050	RB050_F	RB070	RB070_F	RB080	RB080_F	RB090	RB090_F	RB200	RB200_F	RB210	RB210_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	AROPE
2018	ES	62101	589159054	01	02	01	1969	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	62601	169944510	01	02	01	1978	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	62602	169944510	01	07	01	2010	01	2	01	1	01	4	01		96	62601	01		96		96	40	01	0	01	0	01	0	01	0	01	186287954	01	00	0	0
2018	ES	62701	186860172	01	06	01	1975	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	62702	186860172	01	09	01	2009	01	1	01	1	01	4	01		96	62701	01		96		96	52	01	0	01	0	01	0	01	0	01	233552560	01	00	0	0
2018	ES	63001	103518062	01	03	01	1940	01	1	01	1	01	3	01		96		96	63002	01		96		96		96		96		96		96		96	96	0	0
2018	ES	63002	103518062	01	07	01	1940	01	2	01	1	01	3	01		96		96	63001	01		96		96		96		96		96		96		96	96	0	0
2018	ES	63101	164754387	01	06	01	1980	01	2	01	1	01	2	01		96		96	63102	01		96		96		96		96		96		96		96	00	1	1
2018	ES	63102	164754387	01	12	01	1980	01	1	01	1	01	1	01		96		96	63101	01		96		96		96		96		96		96		96	00	1	1
2018	ES	63103	164754387	01	12	01	2012	01	1	01	1	01	4	01	63102	01	63101	01		96		96	39	01	0	01	0	01	0	01	0	01	173949329	01	00	1	1
2018	ES	63201	151444338	01	11	01	1977	01	2	01	1	01	2	01		96		96	63202	01		96		96		96		96		96		96		96	00	0	1
2018	ES	63202	151444338	01	04	01	1983	01	1	01	1	01	1	01		96		96	63201	01		96		96		96		96		96		96		96	00	0	1
2018	ES	63203	151444338	01	02	01	2009	01	1	01	1	01	4	01	63202	01	63201	01		96		96	25	01	0	01	0	01	0	01	0	01	189287062	01	00	0	1
2018	ES	63204	151444338	01	07	01	2014	01	1	01	1	01	4	01	63202	01	63201	01		96	25	01		96	0	01	0	01	0	01	0	01	150603382	01	00	0	1
2018	ES	63601	100930888	01	01	01	1934	01	1	01	1	01	3	01		96		96	63602	01		96		96		96		96		96		96		96	96	1	1
2018	ES	63602	100930888	01	12	01	1950	01	2	01	1	01	4	01		96		96	63601	01		96		96		96		96		96		96		96	96	1	1
2018	ES	63701	126572619	01	04	01	1963	01	2	01	1	01	4	01		96		96	63704	01		96		96		96		96		96		96		96	00	0	0
2018	ES	63702	126572619	01	05	01	1986	01	1	01	1	01	1	01	63704	01	63701	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	63703	126572619	01	01	01	1994	01	2	01	1	01	1	01	63704	01	63701	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	63704	126572619	01	10	01	1959	01	1	01	1	01	1	01		96		96	63701	01		96		96		96		96		96		96		96	00	0	0
2018	ES	63901	139255980	01	12	01	1971	01	2	01	1	01	1	01		96		96	63902	01		96		96		96		96		96		96		96	00	0	0
